col_0,col_1,col_2
0.0,84.9,22.884
-0.01,84.57,22.88
-0.05,84.62,22.876
-0.01,84.01,22.871
0.02,83.57,22.867
0.0,83.9,22.861
-0.01,84.57,22.853
-0.019999999999999997,84.595,22.848
-0.03,84.62,22.843
0.04,84.31,22.841
-0.08,84.57,22.842
-0.02,85.25,22.844
0.13,85.4,22.843
0.02,84.97,22.839
0.02,85.23,22.836
0.0,85.33,22.831
-0.11,85.02,22.828
-0.05,85.07,22.824
-0.04,85.0,22.82
-0.17,88.05,22.816
-0.1,87.46,22.812
-0.08,85.73,22.807
0.01,85.3,22.802
0.04,86.6,22.8
0.05,86.85,22.799
0.02,87.11,22.798
0.05,86.17,22.796
0.01,86.27,22.793
0.01,85.94,22.792
0.02,86.04,22.792
0.05,87.36,22.791
-0.01,87.59,22.792
-0.05,86.45,22.793
0.01,86.9,22.793
-0.02,85.81,22.795
-0.02,84.26,22.801
-0.13,83.37,22.805
-0.05,83.6,22.805
0.03,84.31,22.811
0.07,85.15,22.81
-0.02,85.61,22.81
-0.07,86.04,22.812
-0.1,85.94,22.819
-0.04,86.32,22.824
-0.02,86.47,22.833
-0.01,86.5,22.829
-0.025,85.95,22.8335
-0.04,85.4,22.838
0.0,85.17,22.849
-0.01,85.02,22.846
0.01,84.87,22.855
-0.02,86.06,22.857
0.02,85.84,22.869
-0.01,85.51,22.876
0.01,85.07,22.869
0.07,85.05,22.87
0.053333333333333344,84.79666666666667,22.873333333333335
0.036666666666666674,84.54333333333334,22.876666666666665
0.02,84.29,22.88
0.0,83.07,22.884
-0.0033333333333333335,83.14333333333333,22.892
-0.006666666666666667,83.21666666666667,22.900000000000002
-0.01,83.29,22.908
-0.01,82.35,22.901
-0.02,82.71,22.903
0.04,82.48,22.901
0.02,82.35,22.898
-0.009999999999999998,81.82,22.893
-0.04,81.29,22.888
-0.04,81.11,22.88
-0.02,81.08,22.882
0.01,81.21,22.885
0.11,81.24,22.88
0.0,81.72,22.872
0.05,82.48,22.872
0.11,82.86,22.867
0.15,82.53,22.867
0.13,83.02,22.867
0.01,83.12,22.866
0.1,83.57,22.867
0.09,83.52,22.861
0.05,83.24,22.856
0.03,83.55,22.85
0.04,83.45,22.842
0.0,83.65,22.83
-0.05,83.93,22.827
-0.07,84.18,22.826
-0.045000000000000005,84.33500000000001,22.819499999999998
-0.02,84.49,22.813
0.02,84.31,22.806
0.04,84.62,22.8
0.03,84.84,22.799
0.03,84.84,22.798
0.03,84.955,22.7885
0.03,85.07,22.779
0.02,85.28,22.766
0.04,85.28,22.762
0.02,85.66,22.756
0.02,85.84,22.751
0.02,86.17,22.745
0.01,86.55,22.74
0.03,86.72,22.734
0.01,86.88,22.728
0.01,87.23,22.722
0.02,87.11,22.72
0.01,87.23,22.724
0.0,87.23,22.723
-0.005,87.245,22.7215
-0.01,87.26,22.72
0.0,87.46,22.712
0.01,87.56,22.704
0.01,87.36,22.699
0.0,87.33,22.694
-0.01,87.59,22.687
0.0,87.97,22.684
0.0,87.94,22.678
0.0,87.66,22.673
0.01,87.79,22.67
0.01,88.12,22.669
0.01,88.07,22.668
0.01,88.1,22.665
0.01,88.17,22.657
0.0,88.1,22.651
0.01,87.97,22.647
0.01,88.2,22.641
-0.01,88.33,22.632
-0.01,88.38,22.626
-0.02,88.53,22.622
0.02,88.71,22.618
0.02,88.81,22.6115
0.02,88.91,22.605
0.01,88.94,22.6
0.01,88.91,22.595
0.01,88.53,22.593
0.01,88.33,22.587
-0.02,88.12,22.582
0.0,87.97,22.576
0.01,87.82,22.566
-0.01,87.89,22.561
0.01,87.87,22.555
0.01,88.12,22.548
-0.01,88.02,22.544
-0.01,87.92,22.541
0.02,87.97,22.539
0.02,87.82,22.541
0.0,88.12,22.543
-0.01,87.87,22.544
-0.03,87.84,22.543
-0.05,87.69,22.543
0.04,86.6,22.542
0.04,86.39,22.54
0.0,86.32,22.536
0.02,87.18,22.532
-0.01,86.83,22.528
-0.01,86.675,22.5255
-0.01,86.52,22.523
-0.01,86.95,22.519
-0.05,87.28,22.517
0.01,87.79,22.515
0.0,87.31,22.52
0.03,87.31,22.529
0.0,87.05,22.532
-0.05,86.85,22.538
-0.04,86.78,22.543
-0.05,86.83,22.549
-0.02,86.88,22.554
-0.02,86.93,22.558
0.04,86.62,22.56
-0.01,87.21,22.563
-0.01,87.13,22.562
0.01,87.31,22.563
0.02,86.9,22.562
-0.01,86.5,22.567
0.04,85.1,22.59
0.05500000000000001,84.66499999999999,22.601
0.07,84.23,22.612
-0.03,84.54,22.63
-0.07,84.57,22.635
0.02,84.23,22.641
0.01,84.36,22.642
-0.02,84.87,22.649
0.02,85.2,22.659
0.02,85.15,22.661
0.01,85.68,22.662
0.0,85.73,22.671
-0.02,85.71,22.681
-0.01,85.68,22.696
0.01,85.71,22.707
-0.02,85.86,22.721
-0.04,86.06,22.729
-0.05,85.86,22.761
-0.1,85.71,22.771
-0.02,85.96,22.782
-0.07,85.91,22.794
-0.03,85.45,22.793
0.02,85.53,22.83
0.03,85.45,22.852
0.07,85.28,22.857
0.0,85.51,22.857
-0.01,85.45,22.868
0.04,85.61,22.889
-0.01,85.66,22.912
-0.02,85.76,22.934
-0.02,85.81,22.956
-0.02,85.33,22.975
-0.01,85.15,22.982
0.0,85.12,22.995
-0.01,85.2,22.981
0.04,85.2,23.012
-0.01,85.05,23.076
-0.03,84.08,23.085
-0.03,84.06,23.075
0.02,84.16,23.056
0.03,84.06,23.031
0.01,83.52,23.018
-0.02,83.47,23.019
-0.02,83.65,23.032
-0.05,84.34,23.021
-0.11,84.01,22.997
-0.03,84.03,22.986
0.03,84.21,22.964
0.01,83.9,22.995
0.01,83.85,23.008
-0.02,83.75,22.99
-0.05,84.03,22.967
-0.03,84.29,22.98
-0.03,85.05,22.964
-0.05,85.51,22.951
-0.17,86.19,22.942
-0.12000000000000001,86.445,22.93
-0.07,86.7,22.918
-0.04,86.8,22.917
0.08,87.23,22.93
0.02,86.88,22.943
-0.01,87.05,22.959
0.07,87.03,22.959
0.01,87.13,22.951
0.05,87.11,22.955
-0.08,87.18,22.964
-0.01,87.05,22.962
0.08,87.08,22.953
0.06,87.23,22.952
-0.04,87.54,22.951
0.01,87.82,22.942
0.08,88.15,22.928
0.07,88.1,22.931
-0.02,88.15,22.926
0.05,87.89,22.942
0.05,88.02,22.941
-0.1,87.26,22.922
0.05,87.44,22.908
-0.06,87.54,22.9
-0.07,87.56,22.891
0.02,87.56,22.882
-0.01,86.98,22.87
-0.02,87.13,22.873
-0.04,87.26,22.871
0.0,86.45,22.87
-0.01,86.93,22.878
-0.04,87.0,22.87
-0.03,87.05,22.861
0.05,87.64,22.856
0.07,86.98,22.859
-0.02,87.13,22.864
0.08,87.56,22.866
0.08,87.51,22.88
-0.06,87.69,22.885
0.13,88.35,22.892
0.01,88.45,22.897
-0.05,88.17,22.897
0.06,88.02,22.895
0.06,87.97,22.901
0.0,87.69,22.904
0.08,87.31,22.913
0.02,87.51,22.909
0.01,87.28,22.908
0.0,87.08,22.909
0.01,87.46,22.901
0.01,87.69,22.898
0.0,87.74,22.9
-0.01,88.1,22.898
0.0,88.12,22.897
0.0,88.38,22.885
0.0,88.38,22.879
0.0,88.38,22.873
0.01,88.33,22.865
0.01,88.55,22.861
0.01,88.68,22.856
0.0,88.58,22.851
-0.02,88.55,22.851
0.01,88.43,22.851
0.01,88.55,22.852
0.0,88.53,22.853
0.0,88.76,22.852
-0.01,88.55,22.86
-0.01,88.35,22.859
0.0,88.6,22.859
-0.04,88.33,22.857
0.01,88.68,22.85
0.02,88.53,22.845
0.0,88.68,22.837
0.01,88.94,22.834
-0.02,89.11,22.836
0.01,89.39,22.836
0.01,89.34,22.831
0.02,88.73,22.827
0.05,88.05,22.83
0.07,87.61,22.832
0.07,87.26,22.828
0.04,86.52,22.829
0.01,86.83,22.836
-0.06,86.78,22.835
-0.07,86.19,22.858
0.01,85.71,22.862
-0.04,87.64,22.87
-0.05,88.4,22.872
0.01,87.77,22.875
0.05,87.945,22.8825
0.09,88.12,22.89
0.05,88.63,22.901
0.03,88.63,22.916
0.01,88.53,22.931
-0.01,88.38,22.938
-0.01,88.35499999999999,22.945
-0.01,88.33,22.952
-0.01,88.2,22.964
-0.01,87.61,22.987
-0.03,86.98,23.008
-0.05,86.98,23.019
-0.02,86.47,23.036
-0.04,85.99,23.046
-0.02,85.73,23.05
0.01,85.71,23.066
0.0,85.3,23.065
-0.01,85.43,23.071
-0.01,84.59,23.068
-0.04,84.16,23.068
-0.02,84.03,23.066
-0.04,83.63,23.06
-0.02,84.03,23.056
-0.04,84.39,23.043
0.0,84.92,23.035
-0.01,84.82,23.047
-0.02,84.92,23.046
0.01,85.1,23.039
0.0,84.74,23.034
-0.01,84.87,23.042
0.0,84.92,23.037
0.02,84.84,23.038
0.01,85.12,23.03
0.01,84.72,23.03
0.01,84.77,23.028
0.01,84.49,23.034
0.005,84.615,23.031
0.0,84.74,23.028
0.11,84.23,23.02
0.17,83.75,23.01
-0.02,83.9,23.013
-0.01,84.01,23.005
-0.01,84.36,22.994
-0.02,84.16,22.982
-0.02,84.41,22.97
-0.03,84.59,22.954
-0.05,85.35,22.943
-0.04,85.81,22.933
-0.04,85.91,22.93
-0.04,86.7,22.922
-0.01,86.47,22.923
0.04,86.5,22.922
0.02,86.85,22.916
0.05,86.85,22.916
0.04,86.85,22.905
0.04,87.18,22.9
0.04,87.44,22.89
0.04,87.23,22.894
0.04,87.51,22.894
0.04,87.64,22.886
0.02,86.6,22.865
0.02,86.47,22.854
0.02,86.37,22.872
0.01,86.67,22.888
0.02,86.8,22.886
0.02,87.18,22.878
0.015,87.04,22.880499999999998
0.01,86.9,22.883
0.01,86.98,22.906
0.01,86.93,22.911
0.01,86.52,22.908
0.02,86.7,22.905
-0.01,86.85,22.899
0.03,86.45,22.9
-0.01,86.47,22.896
0.01,86.93,22.885
0.02,87.16,22.871
0.02,87.13,22.869
0.03,87.0,22.872
0.02,87.31,22.88
0.01,87.39,22.887
0.0,87.56,22.893
0.0,87.41,22.884
0.0,87.46,22.873
0.01,87.41,22.865
0.02,87.61,22.857
0.0,87.41,22.848
0.0,87.72,22.84
-0.01,87.66,22.834
0.01,87.82,22.835
-0.04,87.66,22.84
-0.03,87.61,22.834
-0.07,87.74,22.822
-0.02,87.33,22.814
0.04,87.72,22.81
-0.01,86.88,22.812
0.01,86.7,22.808
0.02,85.71,22.8
-0.02,85.76,22.79
0.01,85.4,22.782
0.03,85.76,22.79
0.02,85.48,22.792
0.01,85.43,22.787
0.01,85.07,22.788
0.02,85.12,22.789
0.0,85.02,22.799
-0.01,85.2,22.8
-0.01,84.77,22.8
0.0,84.82,22.798
0.0,84.67,22.792
0.0,84.49,22.782
-0.01,84.26,22.777
0.01,84.13,22.772
0.0,83.78,22.769
-0.01,83.7,22.768
0.0,83.7,22.763
0.0,83.7,22.762
-0.01,84.41,22.761
-0.02,84.44,22.77
-0.02,84.77,22.771
0.01,85.43,22.769
0.0,85.38,22.767
0.0,85.66,22.76
0.04,85.38,22.753
0.06,84.84,22.75
0.07,85.56,22.756
0.06333333333333334,85.19333333333333,22.758666666666667
0.05666666666666667,84.82666666666667,22.761333333333333
0.05,84.46,22.764
0.02,84.11,22.769
0.0,83.955,22.78
-0.02,83.8,22.791
-0.015,83.84,22.7925
-0.01,83.88,22.794
-0.03,83.69999999999999,22.799500000000002
-0.05,83.52,22.805
-0.03,83.78,22.802
-0.06,83.45,22.8
-0.02,83.68,22.813
-0.02,84.08,22.814
-0.05,83.96,22.829
-0.05,84.06,22.836
-0.01,84.18,22.85
0.0,84.36,22.856
-0.04,84.72,22.861
-0.02,84.69,22.866
-0.01,84.84,22.868
-0.01,84.95,22.873
0.01,84.87,22.89
-0.01,84.845,22.9005
-0.03,84.82,22.911
-0.02,85.23,22.92
0.02,85.33,22.929
-0.02,85.63,22.931
0.0,85.78,22.927
-0.02,86.34,22.946
0.01,86.22,22.964
0.01,86.52,22.976
0.01,86.29,22.984
0.01,86.45,23.004
0.01,86.45,23.008
0.0,86.62,23.012
0.01,86.37,23.019
0.02,85.91,23.041
-0.02,85.25,23.033
-0.01,85.61,23.052
0.01,85.33,23.053
0.005,85.14,23.061500000000002
0.0,84.95,23.07
0.01,84.87,23.072
0.02,85.02,23.078
0.04,85.05,23.085
0.01,84.49,23.085
0.01,84.44,23.088
-0.07,83.83,23.105
-0.07,83.7,23.144
-0.02,83.35,23.137
0.02,83.17,23.142
-0.04,83.22,23.137
-0.06,83.65,23.139
-0.08,82.94,23.13
-0.07,83.68,23.129
0.02,83.83,23.122
-0.02,83.63,23.104
-0.01,83.24,23.075
-0.05,83.24,23.078
-0.0050000000000000044,83.405,23.0765
0.04,83.57,23.075
0.03,83.78,23.075
-0.01,84.08,23.069
0.01,84.13,23.065
0.01,84.64,23.074
0.02,85.0,23.081
0.1,85.28,23.075
0.06,85.28,23.064
0.08,85.05,23.044
0.1,85.17,23.046
0.06,84.79,23.058
0.02,84.82,23.073
0.01,84.62,23.062
0.02,84.69,23.042
0.04,84.79,23.047
0.01,85.1,23.058
0.01,84.69,23.042
0.02,85.15,23.028
0.01,85.4,23.027
0.01,85.45,23.028
0.04,85.68,23.038
0.03,85.99,23.05
0.03,86.09,23.041
0.01,86.62,23.039
0.02,86.8,23.033
-0.01,87.08,23.024
-0.01,87.41,23.019
-0.05,87.69,23.008
0.02,87.79,23.001
-0.02,88.05,22.994
0.06,88.38,22.974
0.02,88.27,22.967
0.05,88.4,22.966
0.01,88.71,22.964
0.02,88.53,22.975
0.01,88.94,22.971
0.04,89.24,22.964
0.01,89.32,22.96
0.02,89.34,22.964
0.01,89.34,22.961
0.0,89.52,22.959
-0.01,89.29,22.952
0.01,89.54,22.95
0.05,89.7,22.951
0.02,89.67,22.949
-0.01,89.6,22.951
0.0,89.47,22.955
0.01,89.62,22.952
0.01,89.54,22.945
0.0,89.72,22.927
-0.01,89.32,22.914
-0.01,89.21,22.911
-0.01,89.47,22.914
-0.04,89.29,22.903
-0.02,89.42,22.904
0.04,89.54,22.908
0.02,89.32,22.909
0.03,89.52,22.907
0.02,89.42,22.901
0.02,89.54,22.887
-0.04,89.44,22.88
-0.03,89.54,22.876
-0.04,89.62,22.87
-0.02,89.66,22.875
0.0,89.7,22.88
0.05,89.7,22.887
0.07,89.8,22.892
0.02,90.03,22.886
0.0,90.15,22.88
0.01,90.21,22.881
0.0,90.05,22.887
0.0,90.03,22.895
0.01,90.08,22.891
-0.01,89.95,22.89
-0.04,90.0,22.886
0.01,89.95,22.882
0.01,89.83500000000001,22.877000000000002
0.01,89.72,22.872
0.01,89.39,22.867
0.05,88.94,22.86
0.03,88.76,22.858
0.06,88.53,22.846
0.02,88.07,22.837
0.04,88.0,22.838
0.04,87.46,22.84
0.0,87.66,22.85
0.01,87.11,22.86
-0.01,86.98,22.866
-0.02,86.9,22.863
-0.02,86.93,22.864
-0.02,86.88,22.87
-0.01,87.41,22.878
-0.05,87.36,22.879
-0.04,87.31,22.886
0.0,87.32,22.8985
0.04,87.33,22.911
0.02,87.39,22.925
0.0,87.54,22.946
-0.01,87.61,22.954
-0.05,87.66,22.972
-0.01,87.66,22.998
0.01,87.31,23.003
-0.03,86.9,23.043
-0.09,86.78,23.069
-0.01,86.67,23.087
0.01,86.88,23.088
0.06,86.52,23.088
0.0,86.45,23.111
-0.05,86.65,23.119
-0.01,86.24,23.133
0.02,86.27,23.142
-0.02,86.04,23.157
-0.04,86.09,23.207
-0.03,86.14,23.228
0.04,86.14,23.258
0.04,86.62,23.263
-0.07,86.85,23.321
0.07,86.85,23.311
-0.02,86.7,23.3
0.01,86.88,23.323
0.01,86.78,23.351
0.04,86.65,23.379
0.04,86.8,23.395
-0.13,86.5,23.394
-0.01,86.06,23.389
0.09,85.4,23.399
0.02,85.1,23.395
0.01,84.9,23.389
0.02,84.34,23.394
-0.01,84.82,23.395
-0.005,84.63,23.3905
0.0,84.44,23.386
-0.01,84.16,23.389
-0.05,84.36,23.404
-0.04,84.44,23.394
-0.03,84.67,23.398
-0.04,85.07,23.403
-0.06,85.07,23.373
-0.07,85.23,23.375
-0.04,85.33,23.375
-0.05,85.78,23.375
-0.06,85.63,23.361
-0.08,85.81,23.345
-0.05,85.66,23.334
-0.01,86.01,23.329
-0.01,86.45,23.324
0.02,86.5,23.322
0.02,86.57,23.308
0.02,86.98,23.3
0.05,87.28,23.282
0.03,87.28,23.268
0.03,87.33,23.274
0.02,87.64,23.275
0.02,87.66,23.266
0.03,87.74,23.246
0.02,87.84,23.243
0.02,88.07,23.24
0.04,88.22,23.244
0.02,87.87,23.243
0.01,88.15,23.232
0.02,87.87,23.218
0.01,88.17,23.218
0.01,88.38,23.233
0.01,88.17,23.232
0.0,88.2,23.231
0.01,88.63,23.216
0.01,88.81,23.218
0.01,88.4,23.211
0.0,88.43,23.208
0.01,88.63,23.207
-0.01,88.58,23.203
0.02,88.48,23.2
0.01,88.58,23.197
0.01,88.53,23.207
0.01,88.4,23.206
0.01,88.02,23.214
0.01,87.82,23.215
0.0,87.59,23.216
0.01,87.74,23.217
0.0,87.77,23.211
0.0,87.36,23.204
0.0,87.23,23.204
0.0,87.46,23.206
0.0,87.49,23.206
0.02,87.49,23.206
-0.01,87.08,23.203
-0.02,86.7,23.197
-0.01,86.55,23.193
-0.01,86.42,23.197
0.0,86.57,23.193
-0.01,86.24,23.189
-0.02,86.17,23.19
-0.01,86.11,23.185
-0.01,86.22,23.183
-0.01,85.84,23.184
-0.01,86.11,23.188
0.01,85.71,23.189
0.0,86.11,23.189
0.02,85.96,23.192
0.01,86.14,23.191
0.01,86.47,23.188
0.01,86.72,23.185
0.02,86.65,23.182
0.015,86.39500000000001,23.18
0.01,86.14,23.178
0.01,86.47,23.177
-0.02,86.83,23.177
-0.02,86.78,23.178
0.01,87.39,23.188
0.0,86.9,23.183
0.02,87.18,23.177
-0.02,87.0,23.183
-0.02,87.18,23.185
0.02,86.9,23.182
0.02,87.08,23.181
0.02,87.28,23.178
0.02,86.85,23.183
0.01,87.26,23.183
0.0,87.41,23.183
0.03,87.36,23.187
0.01,86.88,23.19
0.02,87.11,23.191
-0.01,86.85,23.191
-0.02,86.9,23.188
-0.04,87.74,23.184
-0.02,87.0,23.187
0.02,86.01,23.193
0.05,86.22,23.199
0.07,85.84,23.197
0.02,85.78,23.193
0.03,85.94,23.195
-0.01,86.45,23.199
-0.07,86.5,23.207
-0.02,85.94,23.217
0.04,85.73,23.218
0.01,86.01,23.226
0.05,86.06,23.236
-0.01,86.11,23.246
-0.02,86.29,23.255
-0.04,86.5,23.25
-0.01,86.47,23.267
0.04,86.47,23.282
-0.09,86.42,23.31
-0.13,86.22,23.311
0.08,86.14,23.33
-0.04,86.06,23.341
-0.01,86.37,23.348
0.01,86.04,23.348
-0.16,85.53,23.361
0.0,85.89,23.382
-0.13,86.57,23.375
-0.07,86.88,23.38
-0.04,87.18,23.389
-0.11,87.39,23.37
0.08,87.56,23.376
0.19,87.49,23.362
-0.04,86.88,23.372
0.01,86.88,23.377
0.1,86.9,23.397
0.04,86.93,23.405
-0.01,86.88,23.419
-0.08,86.95,23.427
0.11,86.93,23.438
0.065,86.915,23.4455
0.02,86.9,23.453
-0.02,86.9,23.479
-0.08,87.56,23.479
-0.06,87.42,23.481
-0.04,87.28,23.483
0.07,87.28,23.468
-0.08,87.31,23.491
-0.04,87.36,23.475
-0.01,87.46,23.464
-0.01,87.41,23.459
0.05,87.51,23.463
-0.02,87.56,23.468
-0.02,87.64,23.466
-0.07,87.61,23.466
-0.09,87.87,23.446
-0.09,87.87,23.455
-0.03,87.92,23.457
0.01,87.84,23.446
-0.01,88.02,23.434
0.0,88.2,23.438
0.01,88.1,23.43
0.02,88.53,23.419
0.06,88.53,23.4
0.01,88.53,23.392
0.03,88.48,23.387
0.02,88.63,23.379
-0.04,88.63,23.377
0.05,88.88,23.376
0.0,88.88,23.364
-0.01,88.86,23.351
0.06,89.01,23.348
0.02,88.76,23.348
0.01,88.88,23.34
0.05,88.83,23.34
-0.02,88.88,23.341
-0.015,88.91,23.3365
-0.01,88.94,23.332
0.01,88.86,23.326
0.02,88.91,23.319
0.02,88.985,23.31
0.02,89.06,23.301
0.0,89.11,23.295
0.0,89.29,23.292
-0.01,89.34,23.285
-0.01,89.32,23.289
0.0,89.34,23.287
0.02,89.62,23.281
0.01,89.47,23.276
0.01,89.405,23.275
0.01,89.34,23.274
0.01,89.85,23.278
0.02,89.72,23.275
-0.01,89.72,23.269
0.0,89.75,23.266
0.02,90.18,23.265
0.03,90.08,23.26
0.0,90.15,23.254
0.0,90.23,23.254
-0.01,90.21,23.256
0.0,90.23,23.256
0.04,90.54,23.256
0.01,90.56,23.256
0.02,90.64,23.257
-0.02,90.71,23.255
-0.02,90.56,23.256
-0.02,90.51,23.256
0.01,90.61,23.256
0.03,90.54,23.255
-0.02,90.54,23.249
0.04,90.59,23.243
0.0,90.59,23.237
-0.01,90.28,23.234
-0.01,90.21,23.236
-0.01,90.15,23.241
0.0,90.28,23.243
-0.01,90.18,23.244
-0.01,90.28,23.237
-0.02,90.15,23.231
-0.01,90.15,23.226
-0.01,90.15,23.221
0.01,90.56,23.216
0.01,90.48,23.209
0.01,90.48,23.206
0.0,90.51,23.206
0.02,90.69,23.208
0.02,90.64,23.204
0.03,90.61,23.204
0.03,90.97,23.21
0.0,90.69,23.211
0.02,90.51,23.205
0.015,90.42,23.2045
0.01,90.33,23.204
-0.04,90.56,23.207
0.01,90.54,23.209
-0.02,90.13,23.207
-0.01,90.08,23.207
0.01,89.75,23.206
0.02,89.29,23.205
0.04,89.04,23.206
0.02,89.32,23.203
-0.04,89.32,23.205
-0.04,89.47,23.204
-0.04,89.11,23.201
0.0,88.78,23.199
0.01,88.4,23.199
0.02,88.53,23.197
0.0,88.325,23.197
-0.02,88.12,23.197
-0.02,88.12,23.197
-0.05,88.12,23.208
-0.07,88.45,23.214
-0.03,88.25,23.218
0.04,88.53,23.225
-0.05,88.5,23.235
-0.05,88.55,23.239
-0.01,88.6,23.259
-0.03,88.5,23.262
-0.01,88.53,23.261
-0.07,88.55,23.28
0.08,88.55,23.299
